dd
CommandType     Name                                               Version    Source
Function        Send-FilterConnectionPort                          2.0.1      NtObjectManager
Function        Send-KerberosKdcRequest                            2.0.1      NtObjectManager
Function        Send-NtWindowMessage                               2.0.1      NtObjectManager
Function        Send-Win32Service                                  2.0.1      NtObjectManager
Function        Set-ExecutionAlias                                 2.0.1      NtObjectManager
Function        Set-FwEngineOption                                 2.0.1      NtObjectManager
Function        Set-GlobalSymbolResolver                           2.0.1      NtObjectManager
Function        Set-LsaPrivateData                                 2.0.1      NtObjectManager
Function        Set-NtAuditPolicy                                  2.0.1      NtObjectManager
Function        Set-NtAuditSecurity                                2.0.1      NtObjectManager
Function        Set-NtCachedSigningLevel                           2.0.1      NtObjectManager
Function        Set-NtFileDisposition                              2.0.1      NtObjectManager
Function        Set-NtFileEa                                       2.0.1      NtObjectManager
Function        Set-NtFileQuota                                    2.0.1      NtObjectManager
Function        Set-NtProcessMitigationPolicy                      2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptor                           2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptorControl                    2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptorDacl                       2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptorGroup                      2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptorIntegrityLevel             2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptorOwner                      2.0.1      NtObjectManager
Function        Set-NtSecurityDescriptorSacl                       2.0.1      NtObjectManager
Function        Set-NtThreadContainer                              2.0.1      NtObjectManager
Function        Set-NtThreadContext                                2.0.1      NtObjectManager
Function        Set-NtThreadWorkOnBehalfTicket                     2.0.1      NtObjectManager
Function        Set-NtTokenGroup                                   2.0.1      NtObjectManager
Function        Set-NtTokenIntegrityLevel                          2.0.1      NtObjectManager
Function        Set-NtTokenPrivilege                               2.0.1      NtObjectManager
Function        Set-NtTokenSid                                     2.0.1      NtObjectManager
Function        Set-NtVirtualMemory                                2.0.1      NtObjectManager
Function        Set-ObjectTypeTreeAccess                           2.0.1      NtObjectManager
Function        Set-RpcClientSecurityContext                       2.0.1      NtObjectManager
Function        Set-RpcServer                                      2.0.1      NtObjectManager
Function        Set-SocketPeerTargetName                           2.0.1      NtObjectManager
Function        Set-SocketSecurity                                 2.0.1      NtObjectManager
Function        Set-Win32Credential                                2.0.1      NtObjectManager
Function        Set-Win32ServiceSecurityDescriptor                 2.0.1      NtObjectManager
Function        Show-NtSection                                     2.0.1      NtObjectManager
Function        Show-NtSecurityDescriptor                          2.0.1      NtObjectManager
Function        Show-NtToken                                       2.0.1      NtObjectManager
Function        Show-NtTokenEffective                              2.0.1      NtObjectManager
Function        Split-Win32CommandLine                             2.0.1      NtObjectManager
Function        Start-AccessibleScheduledTask                      2.0.1      NtObjectManager
Function        Start-AppModelApplication                          2.0.1      NtObjectManager
Function        Start-FwNetEventListener                           2.0.1      NtObjectManager
Function        Start-NtFileOplock                                 2.0.1      NtObjectManager
Function        Start-Win32ChildProcess                            2.0.1      NtObjectManager
Function        Start-Win32DebugConsole                            2.0.1      NtObjectManager
Function        Start-Win32Service                                 2.0.1      NtObjectManager
Function        Stop-NtJob                                         2.0.1      NtObjectManager
Function        Stop-NtProcess                                     2.0.1      NtObjectManager
Function        Stop-NtThread                                      2.0.1      NtObjectManager
Function        Suspend-NtProcess                                  2.0.1      NtObjectManager
Function        Suspend-NtThread                                   2.0.1      NtObjectManager
Function        Test-LsaContext                                    2.0.1      NtObjectManager
Function        Test-LsaContextSignature                           2.0.1      NtObjectManager
Function        Test-NtFileDriverPath                              2.0.1      NtObjectManager
Function        Test-NtObject                                      2.0.1      NtObjectManager
Function        Test-NtProcess                                     2.0.1      NtObjectManager
Function        Test-NtProcessJob                                  2.0.1      NtObjectManager
Function        Test-NtSecurityDescriptor                          2.0.1      NtObjectManager
Function        Test-NtSid                                         2.0.1      NtObjectManager
Function        Test-NtTokenCapability                             2.0.1      NtObjectManager
Function        Test-Win32Service                                  2.0.1      NtObjectManager
Function        Unlock-NtFile                                      2.0.1      NtObjectManager
Function        Unprotect-LsaAuthToken                             2.0.1      NtObjectManager
Function        Unprotect-LsaContextMessage                        2.0.1      NtObjectManager
Function        Unprotect-Win32Credential                          2.0.1      NtObjectManager
Function        Update-LsaClientContext                            2.0.1      NtObjectManager
Function        Update-LsaServerContext                            2.0.1      NtObjectManager
Function        Update-Win32Environment                            2.0.1      NtObjectManager
Function        Wait-AsyncTaskResult                               2.0.1      NtObjectManager
Function        Wait-Win32Service                                  2.0.1      NtObjectManager
Function        Write-NtFile                                       2.0.1      NtObjectManager
Function        Write-NtVirtualMemory                              2.0.1      NtObjectManager
Cmdlet          Add-AuthZSid                                       2.0.1      NtObjectManager
Cmdlet          Add-DosDevice                                      2.0.1      NtObjectManager
Cmdlet          Add-NtDebugProcess                                 2.0.1      NtObjectManager
Cmdlet          Add-NtKeyHive                                      2.0.1      NtObjectManager
Cmdlet          Add-NtSecurityDescriptorAce                        2.0.1      NtObjectManager
Cmdlet          Add-NtThreadApc                                    2.0.1      NtObjectManager
Cmdlet          Add-NtTokenSecurityAttribute                       2.0.1      NtObjectManager
Cmdlet          Clear-AuthZSid                                     2.0.1      NtObjectManager
Cmdlet          Compare-NtSecurityDescriptor                       2.0.1      NtObjectManager
Cmdlet          Compare-NtSid                                      2.0.1      NtObjectManager
Cmdlet          Compare-RpcServer                                  2.0.1      NtObjectManager
Cmdlet          Connect-NtAlpcClient                               2.0.1      NtObjectManager
Cmdlet          Connect-NtAlpcServer                               2.0.1      NtObjectManager
